TurnsLeft	kp	kb	ka	dpos_X	dpos_Y	dpos_theta	cpos_X	cpos_Y	cpos_theta	Deltax	deltay	deltatheta	rho	alpha	beta	vix	viy	wi	vr	wr	phi_l	phi_r
5	2	-10	10	0	200	0.39269908169872414	0.0	0.0	0.0	0.0	200.0	0.39269908169872414	200.0	1.1780972450961724	-1.5707963267948966	0.0	0.0	0.0	400.0	27.48893571891069	-86.5781524179522	353.2448190846189
5	2	-10	10	0	200	0.39269908169872414	40.0	0.0	2.748893571891069	-40.0	200.0	2.356194490192345	203.9607805437114	-1.3734007669450157	-1.7681918866447774	400.0	0.0	27.48893571891069	407.9215610874228	3.947911196997616	104.39056411982666	167.55714327178853
5	2	-10	10	0	200	0.39269908169872414	2.312961884127752	15.610482313266065	-3.1395006155887555	-2.312961884127752	184.38951768673394	3.5321996972874796	184.40402388620427	-1.9530442140464492	-1.5833395592431057	-376.87038115872247	156.10482313266064	3.947911196997616	368.80804777240854	-3.6970465480334376	152.5123883084037	93.35964353986869
5	2	-10	10	0	200	0.39269908169872414	-34.56776218645336	15.533326324443697	2.7739800367874867	34.56776218645336	184.4666736755563	2.3812809550887626	187.677606228083	-1.7811273673950603	-1.3855517510911506	-368.80724070581107	-0.7715598882236806	-3.6970465480334376	375.355212456166	-3.955756163039096	156.7644534563681	93.47235484774257
5	2	-10	10	0	200	0.39269908169872414	-69.59546027848427	29.02316403857761	2.378404420483577	69.59546027848427	170.97683596142238	1.985705338784853	184.59850087894327	-1.5868730099229964	-1.1842304922593048	-350.27698092030903	134.89837714133915	-3.955756163039096	369.19700175788654	-4.026425176636916	155.2770686657242	90.85426583953351
5	2	-10	10	0	200	0.39269908169872414	-96.27496061405903	54.54312726179162	1.9757619028198854	96.27496061405903	145.45687273820838	1.5830628211211613	174.4321354223985	-1.3823459260273294	-0.9861150584912801	-266.79500335574755	255.19963223214003	-4.026425176636916	348.864270844797	-3.962308675360493	147.98655968448293	84.58962087871505
5	2	-10	10	0	200	0.39269908169872414	-110.0197635823301	86.60779919343821	1.579531035283836	110.0197635823301	113.39220080656179	1.186831953585112	157.99411249305285	-1.1717379494810316	-0.8004921675015286	-137.44802968271074	320.646719316466	-3.962308675360493	315.9882249861057	-3.7124578197950306	135.02907088706215	75.62974577034166
5	2	-10	10	0	200	0.39269908169872414	-110.29576657580381	118.20541628153983	1.2082852533043331	110.29576657580381	81.79458371846017	0.815586171605609	137.31536713063252	-0.9628853643258223	-0.638098970677235	-2.7600299347371138	315.9761708810162	-3.7124578197950306	274.63073426126505	-3.2478639364858735	117.52648957897533	65.56066659520137
5	2	-10	10	0	200	0.39269908169872414	-100.5567228848814	143.88364499761602	0.8834988596557458	100.5567228848814	56.11635500238398	0.4907997779570217	115.1551119842294	-0.7671901989525944	-0.5090077424018755	97.39043690922416	256.78228716076194	-3.2478639364858735	230.3102239684588	-2.5818245655071888	97.42467118021045	56.11547813209543
5	2	-10	10	0	200	0.39269908169872414	-85.94467823022617	161.68578373582324	0.6253164031050269	85.94467823022617	38.314216264176764	0.23261732140630276	94.09817683693569	-0.598659002158466	-0.419356482645285	146.1204465465522	178.0213873820723	-2.5818245655071888	188.19635367387139	-1.7930251951318095	77.07631945234493	48.38791633023599
