TurnsLeft	kp	kb	ka	dpos_X	dpos_Y	dpos_theta	cpos_X	cpos_Y	cpos_theta	Deltax	deltay	deltatheta	rho	alpha	beta	vix	viy	wi	vr	wr	phi_l	phi_r
5	0.5	-8	14	0	200	0.39269908169872414	0.0	0.0	0.0	0.0	200.0	0.39269908169872414	200.0	1.1780972450961724	-1.5707963267948966	0.0	0.0	0.0	100.0	29.059732045705587	-199.14452303231135	265.811189698978
5	0.5	-8	14	0	200	0.39269908169872414	10.0	0.0	2.905973204570559	-10.0	200.0	2.513274122871835	200.24984394500785	-1.677917563752444	-1.6207547225168393	100.0	0.0	29.059732045705587	100.12492197250393	-10.5248081123995	117.57343889003066	-50.82349090836136
5	0.5	-8	14	0	200	0.39269908169872414	0.264153759177276	2.3373698840915287	1.8534923933306091	-0.264153759177276	197.66263011590848	1.460793311631885	197.66280662164783	-0.6740587620810743	-1.572132712948259	-97.35846240822723	23.373698840915285	-10.5248081123995	98.83140331082392	3.1402390344510316	7.821888827999719	58.06571337921623
5	0.5	-8	14	0	200	0.39269908169872414	-2.4927058419382497	11.828217472352787	2.1675162967757124	2.4927058419382497	188.17178252764722	1.7748172150769883	188.18829220237532	-1.00266524627528	-1.5575501321991565	-27.568596011155257	94.90847588261256	3.1402390344510316	94.09414610118766	-1.57691239026067	43.98001448914791	18.749416244977194
5	0.5	-8	14	0	200	0.39269908169872414	-7.780159979219574	19.61152731144201	2.0098250577496453	7.780159979219574	180.38847268855798	1.6171259760509211	180.55617399638507	-0.8748311275403824	-1.527693011907987	-52.87454137281324	77.83309839089222	-1.57691239026067	90.27808699819253	-0.02609169030145786	30.30142918847584	29.883962143652514
5	0.5	-8	14	0	200	0.39269908169872414	-11.617524922373626	27.783183215454642	2.0072158887194993	11.617524922373626	172.21681678454536	1.6145168070207752	172.60822364164355	-0.8964753080959504	-1.503439662322273	-38.37364943154052	81.71655904012631	-0.02609169030145786	86.30411182082177	-0.5231370147651226	32.95313339172824	24.582941155486278
5	0.5	-8	14	0	200	0.39269908169872414	-15.265576724791794	35.60467381627254	1.954902187242987	15.265576724791794	164.39532618372746	1.562203105544263	165.10257752014246	-0.8693983597308468	-1.4782029092108644	-36.48051802418168	78.21490600817893	-0.5231370147651226	82.55128876007123	-0.3459537625449407	30.284726353716604	24.749466152997552
5	0.5	-8	14	0	200	0.39269908169872414	-18.35902364169808	43.258283352417536	1.9203068109884929	18.35902364169808	156.74171664758245	1.5276077292897687	157.81324243138613	-0.8588074388954718	-1.4541984537917452	-30.934469169062858	76.53609536144997	-0.3459537625449407	78.90662121569306	-0.38971651420264486	29.419939185518846	23.184474958276528
5	0.5	-8	14	0	200	0.39269908169872414	-21.06108563388449	50.67187962596456	1.8813351595682284	21.06108563388449	149.32812037403545	1.4886360778695042	150.80602395965565	-0.8433527167252928	-1.4306815245416598	-27.020619921864096	74.13596273547019	-0.38971651420264486	75.40301197982782	-0.3614858378208208	28.02622402917584	22.242450624042707
5	0.5	-8	14	0	200	0.39269908169872414	-23.365188596141248	57.85152109999515	1.8451865757861463	23.365188596141248	142.14847890000485	1.4524874940874222	144.05596860844875	-0.8300042500143134	-1.407881407470557	-23.041029622567596	71.79641474030595	-0.3614858378208208	72.02798430422438	-0.35700824043593116	26.865394024895576	21.153262177920677
5	0.5	-8	14	0	200	0.39269908169872414	-25.31685919577602	64.78486712481009	1.809485751742553	25.31685919577602	135.2151328751899	1.416786670043829	137.56480479393707	-0.8164793996821456	-1.3857054337591317	-19.516705996347685	69.33346024814945	-0.35700824043593116	68.78240239696854	-0.34506812547698473	25.688012469472056	20.1669224618403
5	0.5	-8	14	0	200	0.39269908169872414	-26.943077486664865	71.4681000898775	1.7749789391948547	26.943077486664865	128.5318999101225	1.3822798574961306	131.3254686607216	-0.80351155497151	-1.364166465922069	-16.262182908888477	66.832329650674	-0.34506812547698473	65.6627343303608	-0.3358300422245879	24.574218447916973	19.200937772323567
5	0.5	-8	14	0	200	0.39269908169872414	-28.274499867841143	77.89797265784479	1.741395934972396	28.274499867841143	122.10202734215521	1.3486968532736718	125.33296622932438	-0.7908525037675356	-1.3432425129035843	-13.314223811762796	64.29872567967294	-0.3358300422245879	62.66648311466219	-0.32599494951682395	23.496787301021993	18.280868108752806
5	0.5	-8	14	0	200	0.39269908169872414	-29.33840932699262	84.07364895460213	1.7087964400207136	29.33840932699262	115.92635104539787	1.3160973583219895	119.58119052986129	-0.7785726966773767	-1.322922825042061	-10.63909459151475	61.75676296757338	-0.32599494951682395	59.790595264930644	-0.3166351531467857	22.463279646817835	17.397117196469264
5	0.5	-8	14	0	200	0.39269908169872414	-30.160903804961208	89.99586607786422	1.6771329247060351	30.160903804961208	110.00413392213578	1.284433843007311	114.06397151726442	-0.7666391327819435	-1.3031928736228158	-8.224944779685888	59.22217123262085	-0.3166351531467857	57.03198575863221	-0.3074048699646834	21.46990087926154	16.551422959826603
5	0.5	-8	14	0	200	0.39269908169872414	-30.766220265535093	95.66685064655127	1.646392437709567	30.766220265535093	104.33314935344873	1.2536933560108428	108.77484251166013	-0.7550522121791308	-1.2840393072291603	-6.05316460573884	56.70984568687044	-0.3074048699646834	54.38742125583006	-0.2984165126745495	20.516472520006417	15.741808317213625
5	0.5	-8	14	0	200	0.39269908169872414	-31.17697652776763	101.09005958606558	1.616550786442112	31.17697652776763	98.90994041393442	1.223851704743388	103.70718479498434	-0.7438014823822996	-1.2654483857585366	-4.1075626223253705	54.23208939514309	-0.2984165126745495	51.85359239749217	-0.2896336672839013	19.601600137435266	14.967461460892846
